ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2014,2,N,12,0,3,15,80,0,20,5204250
2014,2,N,27,3,0,30,90,10,0,5204300
2014,2,N,27,0,2,29,93.1034482758621,0,6.89655172413793,5204409
2014,2,N,16,0,0,16,100,0,0,5204508
2014,2,NA,0,0,0,0,-1,-1,-1,5204557
2014,2,NA,0,0,0,0,-1,-1,-1,5204607
2014,2,NA,0,0,0,0,-1,-1,-1,5204656
2014,2,N,16,0,5,21,76.1904761904762,0,23.8095238095238,5204706
2014,2,NA,0,0,0,0,-1,-1,-1,5204805
2014,2,NA,0,0,0,0,-1,-1,-1,5204854
2014,2,N,10,9,2,21,47.6190476190476,42.8571428571429,9.52380952380952,5204904
2014,2,NA,0,0,0,0,-1,-1,-1,5204953
2014,2,S,4,3,5,12,33.3333333333333,25,41.6666666666667,5205000
2014,2,N,9,0,0,9,100,0,0,5205059
2014,2,N,36,6,13,55,65.4545454545455,10.9090909090909,23.6363636363636,5205109
2014,2,NA,0,0,0,0,-1,-1,-1,5205208
2014,2,N,1,2,1,4,25,50,25,5205307
2014,2,N,13,1,0,14,92.8571428571429,7.14285714285714,0,5205406
2014,2,NA,0,0,0,0,-1,-1,-1,5205455
2014,2,NA,0,0,0,0,-1,-1,-1,5205471
2014,2,S,38,1,0,39,97.4358974358974,2.56410256410256,0,5205497
2014,2,S,25,1,8,34,73.5294117647059,2.94117647058824,23.5294117647059,5205513
2014,2,NA,0,0,0,0,-1,-1,-1,5205521
2014,2,NA,0,0,0,0,-1,-1,-1,5205703
2014,2,NA,0,0,0,0,-1,-1,-1,5205802
2014,2,NA,0,0,0,0,-1,-1,-1,5205901
2014,2,S,31,13,3,47,65.9574468085106,27.6595744680851,6.38297872340425,5206206
2014,2,NA,0,0,0,0,-1,-1,-1,5206305
2014,2,S,43,4,11,58,74.1379310344828,6.89655172413793,18.9655172413793,5206404
2014,2,S,11,0,1,12,91.6666666666667,0,8.33333333333333,5206503
2014,2,N,6,3,0,9,66.6666666666667,33.3333333333333,0,5206602
2014,2,NA,0,0,0,0,-1,-1,-1,5206701
2014,2,NA,0,0,0,0,-1,-1,-1,5206800
