cod_municipio,ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp
521140,2016,2,S,11,0,0,11,1,0,0
521150,2016,2,S,39,0,0,39,1,0,0
521160,2016,2,N,10,5,1,16,625,0.3125,0.0625
521170,2016,2,N,15,0,0,15,1,0,0
521180,2016,2,S,50,2,0,52,0.9615384615,0.0384615385,0
521190,2016,2,S,79,0,1,80,0.9875,0,0.0125
521200,2016,2,N,6,0,1,7,0.8571428571,0,0.1428571429
521205,2016,2,S,6,0,0,6,1,0,0
521210,2016,2,S,12,0,0,12,1,0,0
521220,2016,2,S,33,0,1,34,0.9705882353,0,0.0294117647
521225,2016,2,S,9,0,0,9,1,0,0
521230,2016,2,S,5,1,12,18,0.2777777778,0.0555555556,0.6666666667
521250,2016,2,N,63,7,4,74,0.8513513514,0.0945945946,0.0540540541
521260,2016,2,S,8,0,2,10,0.8,0,0.2
521270,2016,2,N,2,1,0,3,0.6666666667,0.3333333333,0
521280,2016,2,S,11,1,3,15,0.7333333333,0.0666666667,0.2
521290,2016,2,S,4,0,0,4,1,0,0
521295,2016,2,N,8,0,3,11,0.7272727273,0,0.2727272727
521300,2016,2,N,12,0,2,14,0.8571428571,0,0.1428571429
521305,2016,2,S,0,9,1,10,0,0.9,0.1
521308,2016,2,S,32,1,21,54,0.5925925926,0.0185185185,0.3888888889
521310,2016,2,S,31,0,5,36,0.8611111111,0,0.1388888889
521340,2016,2,N,0,1,0,1,0,1,0
521350,2016,2,N,3,1,4,8,375,125,0.5
521370,2016,2,N,32,1,0,33,0.9696969697,0.0303030303,0
521375,2016,2,S,26,1,3,30,0.8666666667,0.0333333333,0.1
521377,2016,2,N,14,0,2,16,875,0,125
521380,2016,2,S,32,0,0,32,1,0,0
521385,2016,2,S,2,1,3,6,0.3333333333,0.1666666667,0.5
521390,2016,2,N,4,0,0,4,1,0,0
521400,2016,2,S,0,23,0,23,0,1,0
521405,2016,2,S,0,0,12,12,0,0,1
521410,2016,2,S,2,4,2,8,0.25,0.5,0.25
521440,2016,2,N,10,0,1,11,0.9090909091,0,0.0909090909
521450,2016,2,S,15,0,0,15,1,0,0
521460,2016,2,S,6,30,64,100,0.06,0.3,0.64
521470,2016,2,S,4,4,0,8,0.5,0.5,0
521480,2016,2,S,4,0,0,4,1,0,0
521483,2016,2,S,10,0,11,21,0.4761904762,0,0.5238095238
521486,2016,2,S,14,0,0,14,1,0,0
521487,2016,2,S,0,2,8,10,0,0.2,0.8
521490,2016,2,N,4,2,0,6,0.6666666667,0.3333333333,0
521500,2016,2,S,3,0,0,3,1,0,0
521520,2016,2,N,12,0,1,13,0.9230769231,0,0.0769230769
521523,2016,2,S,70,0,13,83,0.843373494,0,0.156626506
521525,2016,2,S,2,3,4,9,0.2222222222,0.3333333333,0.4444444444
521530,2016,2,N,28,5,6,39,0.7179487179,0.1282051282,0.1538461538
521540,2016,2,N,13,0,1,14,0.9285714286,0,0.0714285714
521550,2016,2,N,11,0,1,12,0.9166666667,0,0.0833333333
521560,2016,2,S,36,0,4,40,0.9,0,0.1
521565,2016,2,N,13,2,3,18,0.7222222222,0.1111111111,0.1666666667
521570,2016,2,N,40,3,3,46,0.8695652174,0.0652173913,0.0652173913
521580,2016,2,N,0,0,1,1,0,0,1
521590,2016,2,N,13,0,0,13,1,0,0
521600,2016,2,S,6,0,0,6,1,0,0
521630,2016,2,N,14,0,0,14,1,0,0
521640,2016,2,N,18,1,9,28,0.6428571429,0.0357142857,0.3214285714
521645,2016,2,S,14,1,2,17,0.8235294118,0.0588235294,0.1176470588
521680,2016,2,N,12,1,1,14,0.8571428571,0.0714285714,0.0714285714
521690,2016,2,N,0,0,8,8,0,0,1
521710,2016,2,S,35,1,5,41,0.8536585366,0.0243902439,0.1219512195
521720,2016,2,S,12,2,0,14,0.8571428571,0.1428571429,0
521730,2016,2,N,24,5,9,38,0.6315789474,0.1315789474,0.2368421053
521740,2016,2,N,15,0,1,16,0.9375,0,0.0625
521760,2016,2,S,37,0,12,49,0.7551020408,0,0.2448979592
521770,2016,2,N,24,2,3,29,0.8275862069,0.0689655172,0.1034482759
521800,2016,2,S,33,0,4,37,0.8918918919,0,0.1081081081
521805,2016,2,N,7,0,1,8,875,0,125
521810,2016,2,S,9,0,1,10,0.9,0,0.1
521830,2016,2,N,15,1,8,24,625,0.0416666667,0.3333333333
521839,2016,2,S,8,0,5,13,0.6153846154,0,0.3846153846
521850,2016,2,N,48,0,2,50,0.96,0,0.04
521860,2016,2,S,9,0,0,9,1,0,0
521870,2016,2,S,6,0,0,6,1,0,0
521878,2016,2,S,8,0,0,8,1,0,0
521880,2016,2,S,163,0,0,163,1,0,0
521890,2016,2,S,24,0,0,24,1,0,0
521900,2016,2,S,7,1,1,9,0.7777777778,0.1111111111,0.1111111111
521910,2016,2,N,3,1,3,7,0.4285714286,0.1428571429,0.4285714286
521920,2016,2,N,4,0,2,6,0.6666666667,0,0.3333333333
521925,2016,2,S,16,0,0,16,1,0,0
521930,2016,2,S,28,0,0,28,1,0,0
521935,2016,2,S,14,1,1,16,875,0.0625,0.0625
521940,2016,2,S,8,0,3,11,0.7272727273,0,0.2727272727
521945,2016,2,S,13,0,0,13,1,0,0
521950,2016,2,S,4,0,1,5,0.8,0,0.2
521960,2016,2,S,11,0,0,11,1,0,0
521970,2016,2,S,5,0,0,5,1,0,0
521971,2016,2,S,13,0,0,13,1,0,0
