cod_municipio,ano,item1_mde,item1_fundeb,item1_mde,item1_fundeb,item3e4_mde_edu_inf,item3e4_fundeb_pag_mag,item3e4_mde_edu_fun,item3e4_fundeb_pag_mag,item3e4_fundeb_pag_mag,dedu_const,item_perc_certi
5209408,2015,"11731055,7","614416,3","11116639,4","1948031,15",0,"3549655,12","3549655,12","1832517,68","4276,69","-123708,19","31,31"
5209457,2015,"9453074,16","894643,3","8558430,86","639426,61",0,"2251273,7","2251273,7","599112,05","450086,78","-846516,89","32,77"
5209606,2015,"9452142,09","120138,69","9332003,4","590724,82","42941,6","1662003,17","1704944,77","478642,04","127852,15","-676072,67","25,19"
5209705,2015,"34939253,14","9038776,72","25900476,42","8532249,71","7507,28","13089948,34","13097455,62","6779160,73","1766291,93","4042857,78","25,92"
5209804,2015,"9328992,65","176925,22","9152067,43","1024704,78","10131,41","2275492,11","2285623,52","1041101,32","195097,59","-573214,09","30,64"
5209903,2015,"18478773,42","5302477,53","13176295,89","5529363,07","72523,98","9575065,62","9647589,6","4742284,02","885428,3","3181038,39","34,99"
5209937,2015,"13756832,37","1014672,31","12742160,06","3441324,77","1209934,28","4997698,15","6207632,43","3547980,07","1061250,82","1329804,65","35,46"
5209952,2015,"24438692,81","4379256,27","20059436,54","6948858,63","101641,05","11658440,6","11760081,65","5138810,9","1965238,56","3139292,5","35,28"
5210000,2015,"50892715,3","8973496,53","41919218,77","15532911,58","131555,87","21126643,59","21258199,46","12336621,47","2802057,6","8521756,76","25,03"
5210109,2015,"44803829,02","6481447,28","38322381,74","10222055,15","1869658,28","13858132,67","15727790,95","8069830,52","3861301,48","4374789,41","25,34"
5210158,2015,"9390314,98","222095,46","9168219,52","861919,31",0,"2628937,85","2628937,85","688894,23","173171,78","-712559,55","35,58"
5210208,2015,"34468772,92","7142026,59","27326746,33","5043630,68","2530801,89","6508122,19","9038924,08","4420274,33","616388,84","23548,63","26,16"
5210307,2015,"9647073,11","532646,12","9114426,99","638306,22",690,"2287653,13","2288343,13","660323,24","11923,68","-865400,03","32,69"
5210406,2015,"55443469,66","7667039,04","47776430,62","14887009,5","2524684,7","21385261,64","23909946,34","10616552,94","4439443,64","7078651,1","30,36"
5210562,2015,"9952729,36","437153,72","9515575,64","1858303,01","36117,36","2676910,83","2713028,19","1323441,76","580982,66","169179,34","25,56"
5210604,2015,"10197217,95","972875,4","9224342,55","1381760,31","110550,37","2286667,22","2397217,59","1082833,26","290641,5","-333498,11","26,78"
5210802,2015,"13067255,25","987795,09","12079460,16","1923351,48","200605,7","4244412,23","4445017,93","1416783,17","485382,57","-208507,19","35,61"
5210901,2015,"23432577,33","2233285,93","21199291,4","6123267,85","2037,61","9450013,43","9452051,04","5417848,4","2175757,91","2143459,65","31,19"
5211008,2015,"13789220,44","1742271,13","12046949,31","1783713,39",0,"4462885,9","4462885,9","1383173,06","738521,82","-275644,1","34,36"
5211206,2015,"27795269,33","3680228,67","24115040,66","7435294,96","202809,89","10830030,22","11032840,11","5724490,42","1767230,51","3556813,55","26,9"
5211305,2015,"17946296,43","3245783,29","14700513,14","2636280,54","70126,43","6005894,25","6076020,68","63660,43","2923140,35","1441105,71","25,83"
5211404,2015,"12182304,81","1929064,68","10253240,13","1828289,75",39400,"3720503,95","3759903,95","1987719,02","93370,48","-64312,2","31,39"
5211503,2015,"150337643,54","34563831,68","115773811,86","41919336,18","69637,77","60371560,2","60441197,97","37850259,7","5042641,5","21654476,01","25,8"
5211602,2015,"14107693,87","420742,37","13686951,5","292666,14",0,"1440739,48","1440739,48","318573,69","3491,44","-2035411,08","24,64"
5211701,2015,"15486210,77","1750992,99","13735217,78","3124593,65","11827,6","4777806,23","4789633,83","2617118,4",550763,"513987,62","27,61"
5211800,2015,"41892423,63","7597972,98","34294450,65","15684194,12","478272,88","19981906,55","20460179,43","12224476,62","3792893,76","9476886,72","26,22"
5211909,2015,"195653730,8","56257777,89","139395952,91","34962540,3","8664661,86","52548894,41","61213556,27","33190268,24","1969858,68","10103446,84","26,12"
5212006,2015,"9414032,08","491321,51","8922710,57","1013960,81",0,"2278603,91","2278603,91","925556,43","114554,17","-647459,11","31,08"
5212055,2015,"8566082,53",312016,"8254066,53","938256,35","31493,44","1769219,76","1800713,2","591846,41","329501,18","-668197,64","28,82"
5212105,2015,"15037995,1","1279747,44","13758247,66","3401030,6","198855,75","5040421,68","5239277,43","2670935,68","777462,83","968301,17","28,4"
5212204,2015,"30894811,01","4881197,57","26013613,44","5574992,08","297279,34","13284969,97","13582249,31","5553332,89",91477,"812815,4","41,33"
5212253,2015,"9635363,57","701766,6","8933596,97","550413,02",240,"2132319,95","2132559,95","550134,99","100994,87","-942457,98","31,91"
5212303,2015,"12799699,71","658253,66","12141446,05","3568918,93","70437,15","5188517,66","5258954,81","2279969,3","1385568,83","1849336,09","26,64"
5212501,2015,"161351636,3",41776140,"119575496,3",73348400,0,"91372045,94","91372045,94","57134250,8","14141899,18","52005223,39","24,4"
