ano,semestre,pp,aprov,reprov,nao_comp,total,p_aprov,p_reprov,p_naocomp,cod_municipio
2016,2,N,8,0,0,8,100,0,0,5219738
2016,2,N,0,0,39,39,0,0,100,5219753
2016,2,S,0,0,19,19,0,0,100,5219803
2016,2,S,8,0,1,9,88.8888888889,0,11.1111111111,5219902
2016,2,NA,0,0,0,0,-1,-1,-1,5220058
2016,2,N,4,0,0,4,100,0,0,5220009
2016,2,S,14,1,0,15,93.3333333333,6.6666666667,0,5220108
2016,2,N,0,0,11,11,0,0,100,5220157
2016,2,N,28,7,5,40,70,17.5,12.5,5220207
2016,2,S,13,1,2,16,81.25,6.25,12.5,5220264
2016,2,S,6,1,0,7,85.7142857143,14.2857142857,0,5220280
2016,2,N,13,0,1,14,92.8571428571,0,7.1428571429,5220405
2016,2,S,28,1,1,30,93.3333333333,3.3333333333,3.3333333333,5220454
2016,2,N,2,2,2,6,33.3333333333,33.3333333333,33.3333333333,5220504
2016,2,S,3,14,16,33,9.0909090909,42.4242424242,48.4848484848,5220603
2016,2,N,2,0,0,2,100,0,0,5220686
2016,2,N,0,0,8,8,0,0,100,5220702
2016,2,S,0,6,1,7,0,85.7142857143,14.2857142857,5221007
2016,2,N,0,0,1,1,0,0,100,5221080
2016,2,N,3,0,3,6,50,0,50,5221197
2016,2,N,8,0,0,8,100,0,0,5221304
2016,2,S,13,0,0,13,100,0,0,5221403
2016,2,N,7,1,2,10,70,10,20,5221452
2016,2,N,11,0,0,11,100,0,0,5221502
2016,2,N,10,1,1,12,83.3333333333,8.3333333333,8.3333333333,5221551
2016,2,S,9,2,6,17,52.9411764706,11.7647058824,35.2941176471,5221577
2016,2,N,16,3,0,19,84.2105263158,15.7894736842,0,5221601
2016,2,N,11,0,2,13,84.6153846154,0,15.3846153846,5221700
2016,2,N,9,1,1,11,81.8181818182,9.0909090909,9.0909090909,5221809
2016,2,S,25,9,3,37,67.5675675676,24.3243243243,8.1081081081,5221858
2016,2,S,7,0,3,10,70,0,30,5221908
2016,2,S,28,0,2,30,93.3333333333,0,6.6666666667,5222005
2016,2,N,2,0,3,5,40,0,60,5222054
2016,2,S,5,0,0,5,100,0,0,5222203
2016,2,S,21,0,0,21,100,0,0,5222302
2017,1,N,2,4,1,7,28.5714285714,57.1428571429,14.2857142857,5200050
2017,1,N,25,4,5,34,73.5294117647,11.7647058824,14.7058823529,5200100
2017,1,N,10,2,4,16,62.5,12.5,25,5200134
2017,1,N,3,0,1,4,75,0,25,5200159
2017,1,N,13,1,1,15,86.6666666667,6.6666666667,6.6666666667,5200175
2017,1,S,7,0,1,8,87.5,0,12.5,5200209
2017,1,N,24,12,2,38,63.1578947368,31.5789473684,5.2631578947,5200258
2017,1,S,25,14,2,41,60.9756097561,34.1463414634,4.8780487805,5200308
2017,1,S,6,0,0,6,100,0,0,5200506
2017,1,S,8,2,2,12,66.6666666667,16.6666666667,16.6666666667,5200555
2017,1,N,8,3,2,13,61.5384615385,23.0769230769,15.3846153846,5200605
2017,1,S,6,1,0,7,85.7142857143,14.2857142857,0,5200803
2017,1,S,7,6,0,13,53.8461538462,46.1538461538,0,5200829
2017,1,N,5,4,0,9,55.5555555556,44.4444444444,0,5200852
2017,1,N,7,0,0,7,100,0,0,5200902
2017,1,N,30,2,0,32,93.75,6.25,0,5201108
2017,1,S,0,1,0,1,0,100,0,5201207
2017,1,N,24,1,0,25,96,4,0,5201306
2017,1,N,7,0,1,8,87.5,0,12.5,5201405
2017,1,N,11,0,0,11,100,0,0,5201454
2017,1,S,6,2,0,8,75,25,0,5201504
2017,1,S,9,0,0,9,100,0,0,5201603
2017,1,N,6,1,0,7,85.7142857143,14.2857142857,0,5201702
2017,1,N,9,0,0,9,100,0,0,5201801
2017,1,S,9,2,1,12,75,16.6666666667,8.3333333333,5202155
2017,1,S,5,4,0,9,55.5555555556,44.4444444444,0,5202353
2017,1,S,1,8,1,10,10,80,10,5202502
2017,1,N,9,0,0,9,100,0,0,5202601
2017,1,S,7,0,0,7,100,0,0,5202809
2017,1,S,0,4,2,6,0,66.6666666667,33.3333333333,5203104
2017,1,N,24,0,1,25,96,0,4,5203203
2017,1,N,56,0,0,56,100,0,0,5203302
2017,1,S,2,8,3,13,15.3846153846,61.5384615385,23.0769230769,5203401
2017,1,S,11,8,1,20,55,40,5,5203500
