cod_municipio,ano,item1_mde,item1_fundeb,itens3e4_mde_edu_inf,itens3e4_mde_edu_fun,itens3e4_fundeb_pag_mag,itens3e4_fundeb_outras_desp,dedu_const,item2_perc_cert
5219803,2016,19255486.67,4283953.2,72725.69,7861660.15,4387487.7,11607.98,1152713.67,35.22
5219902,2016,12572551.92,2314068.14,22508.18,4600743.14,2403589.58,3903.45,1294191.44,26.48
5220058,2016,22440919.75,4845517.51,0,9120276.91,4701392.32,1122.38,933449.78,36.48
5220009,2016,10947519.1,654826,2200,1635887.01,448315.55,241379.62,-1340508.65,27.21
5220108,2016,43569046.87,10489119.03,4382680.1,11378605.05,8889826.22,1505174.47,4744505.38,25.29
5220157,2016,14976324.07,2491475.81,3702.26,4017087.53,1991252.91,504959.16,-185429.72,28.09
5220207,2016,38668846.09,8766944.05,89942.16,13995120.28,7993150.19,295364.27,2824704.64,29.12
5220264,2016,11820610.28,2219580.14,76307.6,4047770.69,1920545.55,453745.73,662401.77,29.29
5220280,2016,11809641.39,520292.37,0,1388124.21,505803.32,19.7,-1651452.96,25.74
5220405,2016,1,1,1,1,1,1,1,1
5220454,2016,208743223.2,70169621.28,20342474,70561902.74,45729239.16,23758283.62,38613650.04,25.05
5220504,2016,22243775.99,3516499.08,293822.3,7049807.21,2692339.25,1050770.84,377660.17,31.32
5220603,2016,38401526.32,6814177.85,104751.37,12759699.1,4438782.6,2112823.04,874153.04,31.22
5220686,2016,11027037.73,3109264.7,0,4256435.33,2491877.13,631618.5,1147968.62,28.19
5220702,2016,11273461.2,792863.57,0,2587987.05,640733.86,235633.88,-1118083.08,32.87
5221007,2016,10999282.64,1454568.18,3800,2735934.62,1298025.8,168043.01,-378118.78,28.35
5221080,2016,10061527.07,1478246.34,359530.63,2318115.64,1142054.52,347825.08,-246879.13,29.07
5221197,2016,15957166.7,3033499.25,511402,5037572.13,3033499.25,1016535.79,496800.21,31.66
5221304,2016,10470187.96,1278105.5,122064.56,2722191.83,808528.8,466430.2,-463993.53,31.6
5221403,2016,96995011.48,33813213.87,491279.95,51183874.48,26278957.64,6582231.21,23541456.13,29.01
5221452,2016,12824179.51,1230437.06,0,3506732.56,959219.94,305561.32,-1033447.54,35.4
5221502,2016,12989659.75,1597431.51,93460.63,3380103.45,1469623.49,66328.78,-487352.05,30.49
5221551,2016,22406334.12,3399923.46,0,6174633.86,2933658.24,347281.46,-445704.03,29.55
5221577,2016,10431859.67,1421229.34,0,3719568.81,1367683.12,52829.75,-240758.58,37.96
5221601,2016,44925273.1,10960897.09,0,19945745.39,8790227.79,2049410.27,5025089.65,33.21
5221700,2016,19670213.4,4251004.98,171345.17,6423249.06,3477545.97,492294.21,1323162.28,26.8
5221809,2016,13830832.7,1104371.11,2740,3066264.98,971506.72,165108.62,-1406106.59,32.36
5221858,2016,138700212.67,80718680.22,21558782.3,84717801.83,64414667.02,15229953.58,69408047.78,26.58
5221908,2016,11445196.19,1129989.52,0,2540124.91,1139960.06,182966.31,-443800.95,26.07
5222005,2016,23102128.5,5847183.98,360785.23,9807443.37,5074432.02,1340469.56,2662009.96,32.49
5222054,2016,17802704.66,4051598.09,49772.26,7068899.84,3420986.67,623904.85,2076009.01,28.33
5222203,2016,11407094.08,3299944.54,0,4179358.08,1716647.62,1677981.07,1374378.55,24.59
5222302,2016,15551143.14,2591887.99,12255.06,4766361.7,1748166.42,804618.93,-32640.54,30.94
5200050,2015,14619237.37,5715251.09,309307.68,8270897.51,3989863.13,1753479.02,3509095.83,26.24
5200100,2015,18541461.89,4224619.35,284909.7,6708781.86,3298089.53,1284344.81,1820621.92,22.74
5200134,2015,28548117.65,7440298.32,164578.62,12834879.7,6327925.62,1744317.55,2726180.4,29.89
5200159,2015,8743810.35,670965.96,176846.07,1622273.48,517168.74,222620.05,-861763.33,27.7
5200175,2015,12927721.56,2175738.61,0,3670340.47,1435115.6,785085.79,-208642.62,27.99
5200209,2015,11230331.83,603006.68,128437.64,2164077.91,606101.6,31280.73,-1316035.25,30.16
5200258,2015,74585684.78,70554919.88,203203.43,84102865.75,49003134.18,22177196.8,60303933.05,23.19
5200308,2015,28411306.46,11383548.56,190250.93,16808333.39,9613672.55,1735445.76,7000638.46,28.06
5200506,2015,9148590.25,147474.54,0,1099435.03,147679.71,0,-1333263.92,25.69
5200555,2015,41645136.16,4191691.28,0,10789743.37,3722280.79,340604.93,-3127106.64,28.98
5200605,2015,12224216.87,3356345.14,0,5297031.06,2848127.88,664122.53,1141623.12,28.71
5200803,2015,12053940.3,4707637.03,31250.6,5594246.53,3083661.27,1454376.64,2725073.69,22.25
5200829,2015,9605441.84,1286759.98,0,2499838.96,942128.3,380450.93,-501492.47,30.17
5200852,2015,10408613.94,1687757.74,0,2738414.79,1031129.38,734819.2,-67202.45,25.99
5200902,2015,9605105.94,626184.07,4166.2,1980753.53,612513.2,42168.25,-919878.96,28.58
5201108,2015,313543507.53,113873500.19,25550155.51,204228992.46,91659637.86,23057271.98,60764576.93,29.68
5201207,2015,8062691.19,384640.13,1168.9,1342905.87,347643.35,37958.5,-1109532.53,29.86
5201306,2015,24452217.02,5571798.14,211473.61,8701124.34,4288675.85,1422243.83,1139668.73,27.06
5201405,2015,256572497.16,115513137.81,10685867.45,212299201.19,104715412.09,11932964.64,99853532.48,25.31
5201454,2015,10788036.97,1951157.51,43538.59,4187491.76,1672499.83,396701.8,92230.38,36.26
5201504,2015,16406282.2,2039180.82,434322.22,6004334.87,1464680.7,485119.02,-695680.73,32.59
5201603,2015,8944716.3,757852.28,0,1593776.75,598767.31,214113.37,-774997.12,25.23
5201702,2015,17661539.83,6659277.15,198414.29,9227257.99,4065567.91,2748119.57,3530993.85,28.98
5201801,2015,9773847.32,3429407.45,0,4970590,2711967.75,731297.52,1910641.53,25.17
5202155,2015,11394280.4,2253901.88,0,3969712.47,1965389.89,352160.49,42818.84,31.29
